12/17/2016,Illinois Highland Park,Illinois,Qualifying Tournament,1,il,hp,x,il-hp,IL,D
01/14/2017,Illinois Chicago Central M3,Illinois,Meet,1,il,cc3,x,il-cc3,IL,D
01/07/2017,Illinois Chicago North M3,Illinois,Meet,1,il,cn3,x,il-cn3,IL,D
01/21/2017,Illinois Chicago South M3,Illinois,Meet,1,il,cs3,x,il-cs3,IL,D
01/07/2017,Illinois North Central M3,Illinois,Meet,1,il,nc3,x,il-nc3,IL,D
01/14/2017,Illinois North East M3,Illinois,Meet,1,il,ne3,x,il-ne3,IL,D
01/14/2017,Illinois North West M3,Illinois,Meet,1,il,nw3,x,il-nw3,IL,D
01/01/2017,Illinois SouthCentral Central M3,Illinois,Meet,1,il,scc3,x,il-scc3,IL,D
01/21/2017,Illinois SouthCentral South M3,Illinois,Meet,1,il,scs3,x,il-scs3,IL,D
01/21/2017,Illinois West North M3,Illinois,Meet,1,il,wn3,x,il-wn3,IL,D
01/07/2017,Illinois West South M3,Illinois,Meet,1,il,ws3,x,il-ws3,IL,D
02/04/2017,Illinois West West M3,Illinois,Meet,1,il,ww3,x,il-ww3,IL,D
02/11/2017,Illinois SouthCentral League Qualifier,Illinois,Qualifying Tournament,1,il,scq,x,il-scq,IL,D
02/11/2017,Illinois North League Qualifier,Illinois,Qualifying Tournament,1,il,nq,x,il-nq,IL,D
02/12/2017,Illinois West League Qualifier,Illinois,Qualifying Tournament,1,il,wq,x,il-wq,IL,D
02/18/2017,Illinois Chicago League Qualifier,Illinois,Qualifying Tournament,1,il,cq,x,il-cq,IL,D
02/25/2017,Illinois State Championship,Illinois,Championship,1,il,cmp,x,il-cmp,IL,D
12/10/2016,Virginia Northern D1,Virginia,Qualifying Tournament,1,va,nod1,1,va-nod1,VA,D
12/10/2016,Virginia Northern D2,Virginia,Qualifying Tournament,2,va,nod2,2,va-nod2,VA,D
12/17/2016,Virginia Shenandoah,Virginia,Qualifying Tournament,1,va,sh,x,va-sh,VA,D
01/14/2017,Virginia North Central D1,Virginia,Qualifying Tournament,1,va,ncd1,1,va-ncd1,VA,D
